variable,comunidad,valor,fecha
Residuos no renovables,Asturias,4643.048,2023-04-01
Generación total,Asturias,609506.95,2023-04-01
Hidráulica,Asturias,80680.594,2023-05-01
Carbón,Asturias,236241.058,2023-05-01
Ciclo combinado,Asturias,178341.612,2023-05-01
Eólica,Asturias,98714.837,2023-05-01
Solar fotovoltaica,Asturias,77.887,2023-05-01
Otras renovables,Asturias,20860.029,2023-05-01
Cogeneración,Asturias,7298.894,2023-05-01
Residuos no renovables,Asturias,0.005,2023-05-01
Generación total,Asturias,622214.916,2023-05-01
Hidráulica,Asturias,82923.489,2023-06-01
Carbón,Asturias,287417.333,2023-06-01
Ciclo combinado,Asturias,263689.57,2023-06-01
Eólica,Asturias,30148.15,2023-06-01
Solar fotovoltaica,Asturias,69.727,2023-06-01
Otras renovables,Asturias,19536.141,2023-06-01
Cogeneración,Asturias,9477.741,2023-06-01
Residuos no renovables,Asturias,4689.77,2023-06-01
Generación total,Asturias,697951.921,2023-06-01
Hidráulica,Asturias,44749.791,2023-07-01
Carbón,Asturias,240692.387,2023-07-01
Ciclo combinado,Asturias,286593.539,2023-07-01
Eólica,Asturias,43557.134,2023-07-01
Solar fotovoltaica,Asturias,67.693,2023-07-01
Otras renovables,Asturias,14070.479,2023-07-01
Cogeneración,Asturias,3570.372,2023-07-01
Residuos no renovables,Asturias,7642.372,2023-07-01
Generación total,Asturias,640943.7669999999,2023-07-01
Hidráulica,Asturias,53574.172,2023-08-01
Carbón,Asturias,252788.955,2023-08-01
Ciclo combinado,Asturias,277676.25,2023-08-01
Eólica,Asturias,63706.012,2023-08-01
Solar fotovoltaica,Asturias,60.528,2023-08-01
Otras renovables,Asturias,20589.99,2023-08-01
Cogeneración,Asturias,3834.863,2023-08-01
Residuos no renovables,Asturias,6557.459,2023-08-01
Generación total,Asturias,678788.229,2023-08-01
Hidráulica,Asturias,62734.527,2023-09-01
Carbón,Asturias,246657.477,2023-09-01
Ciclo combinado,Asturias,286327.471,2023-09-01
Eólica,Asturias,77115.287,2023-09-01
Solar fotovoltaica,Asturias,57.635,2023-09-01
Otras renovables,Asturias,23812.644,2023-09-01
Cogeneración,Asturias,6690.408,2023-09-01
Residuos no renovables,Asturias,5553.802,2023-09-01
Generación total,Asturias,708949.2510000002,2023-09-01
Hidráulica,Asturias,100307.262,2023-10-01
Carbón,Asturias,292686.346,2023-10-01
Ciclo combinado,Asturias,200319.004,2023-10-01
Eólica,Asturias,174966.075,2023-10-01
Solar fotovoltaica,Asturias,39.241,2023-10-01
Otras renovables,Asturias,25262.251,2023-10-01
Cogeneración,Asturias,4130.555,2023-10-01
Residuos no renovables,Asturias,5099.871,2023-10-01
Generación total,Asturias,802810.6050000001,2023-10-01
Hidráulica,Asturias,265269.289,2023-11-01
Carbón,Asturias,228074.839,2023-11-01
Ciclo combinado,Asturias,89778.386,2023-11-01
Eólica,Asturias,195726.926,2023-11-01
Solar fotovoltaica,Asturias,22.471,2023-11-01
Otras renovables,Asturias,22535.067,2023-11-01
Cogeneración,Asturias,1509.106,2023-11-01
Residuos no renovables,Asturias,5842.368,2023-11-01
Generación total,Asturias,808758.452,2023-11-01
Hidráulica,Asturias,231769.41,2023-12-01
Carbón,Asturias,219974.371,2023-12-01
Ciclo combinado,Asturias,146994.462,2023-12-01
Eólica,Asturias,159326.089,2023-12-01
Solar fotovoltaica,Asturias,23.072,2023-12-01
Otras renovables,Asturias,22907.412,2023-12-01
Cogeneración,Asturias,1725.444,2023-12-01
Residuos no renovables,Asturias,6527.044,2023-12-01
Generación total,Asturias,789247.3040000001,2023-12-01
Hidráulica,Asturias,215340.676,2024-01-01
Carbón,Asturias,227065.205,2024-01-01
Ciclo combinado,Asturias,124071.808,2024-01-01
Eólica,Asturias,157322.187,2024-01-01
Solar fotovoltaica,Asturias,25.762,2024-01-01
Otras renovables,Asturias,20333.359,2024-01-01
Cogeneración,Asturias,7994.833,2024-01-01
Residuos no renovables,Asturias,5180.422,2024-01-01
Generación total,Asturias,757334.2520000001,2024-01-01
Hidráulica,Asturias,159394.546,2024-02-01
Carbón,Asturias,208655.085,2024-02-01
Ciclo combinado,Asturias,59352.078,2024-02-01
Eólica,Asturias,148367.778,2024-02-01
Solar fotovoltaica,Asturias,31.443,2024-02-01
Otras renovables,Asturias,16516.093,2024-02-01
Cogeneración,Asturias,4932.409,2024-02-01
Residuos no renovables,Asturias,4569.866,2024-02-01
Generación total,Asturias,601819.298,2024-02-01
Hidráulica,Asturias,335331.266,2024-03-01
